,job_id,title,company,location,job_function,industry,experience_level,raw_skill,matched_skill,subcategory,category,similarity
15035,399021560,Family Centered Specialist,Sevita,"Chelsea, MA",Other,Hospitals and Health Care,Entry level,"[{'name': 'Clinical assessment', 'description': 'Conduct assessments of mental status, personality, behavioral response patterns, relationships, and family interactions to identify needs and inform service plans. (Required)'}, {'name': 'Treatment/service planning', 'description': 'Develop and propose individualized service or treatment plans based on assessment data and practical, evidence-informed suggestions for change. (Required)'}, {'name': 'Activity- and participation-based interventions', 'description': 'Design and deliver interventions focused on meaningful activities and participation drawn from training, experience, and family strengths. (Required)'}, {'name': 'Crisis coverage / on-call support', 'description': 'Provide 24/7 coverage and crisis support for assigned individuals/families, including development of closure and aftercare plans. (Required)'}, {'name': 'Documentation and record-keeping (confidential)', 'description': 'Maintain organized, complete, and confidential records; submit accurate documentation to supervisors in a timely manner and comply with privacy regulations. (Required)'}, {'name': 'Case coordination and referrals', 'description': 'Build and maintain relationships with referring/collateral agencies, guide families in interacting with community services, and make referrals to appropriate resources. (Required)'}, {'name': 'Communication and interpersonal skills', 'description': 'Excellent verbal and written communication skills for engaging families, collaborating with teams, and representing the organization to external partners. (Required)'}, {'name': 'Analytical skills', 'description': 'Ability to analyze assessment information, performance, and outcomes to inform planning and track progress. (Required)'}, {'name': 'Supervision and training', 'description': 'Provide training, field supervision, record review, and mentorship to new or tenured peers; may develop or deliver regional/team training and educational presentations. (Preferred/May be required depending on assignment)'}, {'name': 'Team collaboration', 'description': 'Participate in team and collateral meetings, support peer development, and address professional development and team performance issues. (Required)'}, {'name': 'Self-motivation and multitasking', 'description': 'Detail-oriented, able to manage multiple tasks and responsibilities independently in a dynamic service environment. (Required)'}, {'name': 'Specialized clinical training', 'description': 'Completion of specialized training relevant to the role (e.g., behavioral health, family-centered interventions, ABA or early intervention techniques). The posting lists specialized training as required; specific discipline not specified. (Required)'}]",Data Analysis,Data Analysis,Analysis,0.563
16353,397655613,Athletic Trainer - Clinical Injury Prevention Specialist,Premise Health,"Atlanta, GA",Other,Hospitals and Health Care,Entry level,"[{'name': 'Athletic Training (BOC Certified)', 'description': 'Required — professional athletic training skills including prevention, assessment, treatment, and rehabilitation of musculoskeletal injuries. BOC certification expected.'}, {'name': 'Musculoskeletal (MSK) Assessment', 'description': 'Required — ability to take history and perform observation, palpation, range of motion, manual muscle testing, reflex testing, myotome/dermatome assessment, and special tests to identify red flags and next steps.'}, {'name': 'Physical Demand Analysis (PDA)', 'description': 'Required — perform job-specific PDAs including raw data collection, use of measurement tools, video analysis, and report review to identify high-risk tasks and produce recommendations.'}, {'name': 'Ergonomics and Injury Prevention', 'description': 'Preferred — apply ergonomic principles to evaluate work tasks, recommend workplace countermeasures, design interventions, and deliver education to reduce risk of work-related injury.'}, {'name': 'First Aid / Basic Life Support (BLS) / ACLS', 'description': 'Required (BLS & First Aid) — hands-on AHA or ARC BLS and First Aid certification for health-care providers; ACLS may be required depending on contract scope.'}, {'name': 'Early Intervention / MSK First Aid', 'description': 'Required — provide prompt, appropriate MSK first aid and early intervention to reduce severity and prevent recordable incidents.'}, {'name': 'Functional Training Program Design & Delivery', 'description': 'Required — develop and lead group and individual training sessions (functional movement, job simulations, stretching programs, lift labs) tailored to occupational demands.'}, {'name': 'Anatomy, Physiology & Biomechanics', 'description': 'Required — foundational clinical knowledge to assess limitations and prescribe conditioning or corrective strategies to support work performance and injury prevention.'}, {'name': 'Video Analysis & Measurement Tools', 'description': 'Required — use video analysis and physical measurement devices to evaluate movement patterns and job demands.'}, {'name': 'Occupational Health & Safety Knowledge', 'description': 'Preferred — familiarity with OSHA regulations and workplace safety principles to align clinical recommendations with safety practices.'}, {'name': 'Care Coordination & Communication', 'description': 'Required — communicate regularly with on-site medical teams and client safety staff, coordinate follow-up care and collaboratively implement workplace recommendations.'}, {'name': 'EMR Documentation & Administrative Skills', 'description': 'Required — timely and accurate completion of required forms, reports, and electronic medical record documentation.'}, {'name': 'Critical Thinking & Problem Solving', 'description': 'Required — assess clinical and workplace situations, prioritize tasks, identify root causes, and propose practical solutions.'}, {'name': 'Time Management & Multitasking', 'description': 'Required — manage competing clinical and administrative duties efficiently while maintaining quality of care.'}, {'name': 'Interpersonal & Relationship-building Skills', 'description': 'Required — build trust with clients, employees, and internal teams to support adoption of injury prevention strategies.'}, {'name': 'Flexibility / Physical Stamina', 'description': 'Required — ability to stand/walk/bend/kneel/stoop frequently and occasionally lift/move items over 20 pounds; work flexible hours when contract requires.'}]",Motion Analysis,Image Analysis,Analysis,0.615
20351,393048040,Research Associate,Hebrew SeniorLife,"Boston, MA","Research, Analyst, and Information Technology",Hospitals and Health Care,Entry level,"[{'name': 'Project management', 'description': 'Required. Plan, organize, coordinate study activities, timelines, meetings, and deliverables across team members and collaborators.'}, {'name': 'IRB submission and regulatory knowledge', 'description': 'Required. Prepare IRB applications and correspondence and ensure compliance with research ethics and participant confidentiality.'}, {'name': 'Study coordination', 'description': 'Required. Coordinate participant recruitment, scheduling, interactions with clinicians (e.g., surgeons, therapists), and day-to-day study operations.'}, {'name': 'Quantitative data analysis', 'description': 'Required. Analyze data from surveys, cohort studies, or clinical trials using appropriate statistical methods.'}, {'name': 'Qualitative research methods', 'description': 'Required/preferred. Conduct interviews, manage qualitative data collection and analysis (e.g., coding, thematic analysis).'}, {'name': 'Statistical/programming skills', 'description': 'Required. Fundamental programming and data analysis skills in SAS, R, Stata, Python, or similar languages for data cleaning, analysis, and reproducible workflows.'}, {'name': 'Data entry and data management', 'description': 'Required. Accurate data entry, database management, documentation of datasets and provenance (e.g., REDCap).'}, {'name': 'REDCap/database design', 'description': 'Required. Develop and maintain study databases, design data collection instruments, and manage data capture workflows.'}, {'name': 'Medical record review / EHR abstraction', 'description': 'Required. Extract and interpret clinical data from medical records for research purposes.'}, {'name': 'Participant interaction experience', 'description': 'Preferred. Experience interacting with older adults in clinic, hospital, or nursing home settings; ability to conduct interviews sensitively and maintain confidentiality.'}, {'name': 'Scientific writing and literature review', 'description': 'Required. Conduct literature reviews, draft sections of manuscripts and grant applications, and contribute to publications and conference presentations.'}, {'name': 'Communication skills (oral and written)', 'description': 'Required. Clear interpersonal communication with participants, collaborators, and the research team; strong writing for protocols, reports, and manuscripts.'}, {'name': 'Organizational and multitasking skills', 'description': 'Required. Superb organization, ability to prioritize multiple projects, meet deadlines, and re-prioritize as demands change.'}, {'name': 'Analytical and critical thinking', 'description': 'Required. Strong analytical skills to interpret results, make recommendations, and exercise independent, sound judgment on project matters.'}, {'name': 'Teamwork and collaboration', 'description': 'Required. Work effectively within multidisciplinary teams and across the organization to achieve research goals.'}, {'name': 'Results orientation and customer service', 'description': 'Required. Focus on delivering high-quality outputs, anticipating stakeholder needs, and maintaining productive relationships.'}, {'name': 'Flexibility and adaptability', 'description': 'Required. Adjust to schedule changes, technology updates, and unanticipated participant or project needs.'}, {'name': 'Professionalism and ethics', 'description': 'Required. Maintain participant confidentiality, professional demeanor, integrity, and a positive, proactive attitude.'}]",Quantitative Data Analysis,Data Analysis,Analysis,0.65
20352,393048040,Research Associate,Hebrew SeniorLife,"Boston, MA","Research, Analyst, and Information Technology",Hospitals and Health Care,Entry level,"[{'name': 'Project management', 'description': 'Required. Plan, organize, coordinate study activities, timelines, meetings, and deliverables across team members and collaborators.'}, {'name': 'IRB submission and regulatory knowledge', 'description': 'Required. Prepare IRB applications and correspondence and ensure compliance with research ethics and participant confidentiality.'}, {'name': 'Study coordination', 'description': 'Required. Coordinate participant recruitment, scheduling, interactions with clinicians (e.g., surgeons, therapists), and day-to-day study operations.'}, {'name': 'Quantitative data analysis', 'description': 'Required. Analyze data from surveys, cohort studies, or clinical trials using appropriate statistical methods.'}, {'name': 'Qualitative research methods', 'description': 'Required/preferred. Conduct interviews, manage qualitative data collection and analysis (e.g., coding, thematic analysis).'}, {'name': 'Statistical/programming skills', 'description': 'Required. Fundamental programming and data analysis skills in SAS, R, Stata, Python, or similar languages for data cleaning, analysis, and reproducible workflows.'}, {'name': 'Data entry and data management', 'description': 'Required. Accurate data entry, database management, documentation of datasets and provenance (e.g., REDCap).'}, {'name': 'REDCap/database design', 'description': 'Required. Develop and maintain study databases, design data collection instruments, and manage data capture workflows.'}, {'name': 'Medical record review / EHR abstraction', 'description': 'Required. Extract and interpret clinical data from medical records for research purposes.'}, {'name': 'Participant interaction experience', 'description': 'Preferred. Experience interacting with older adults in clinic, hospital, or nursing home settings; ability to conduct interviews sensitively and maintain confidentiality.'}, {'name': 'Scientific writing and literature review', 'description': 'Required. Conduct literature reviews, draft sections of manuscripts and grant applications, and contribute to publications and conference presentations.'}, {'name': 'Communication skills (oral and written)', 'description': 'Required. Clear interpersonal communication with participants, collaborators, and the research team; strong writing for protocols, reports, and manuscripts.'}, {'name': 'Organizational and multitasking skills', 'description': 'Required. Superb organization, ability to prioritize multiple projects, meet deadlines, and re-prioritize as demands change.'}, {'name': 'Analytical and critical thinking', 'description': 'Required. Strong analytical skills to interpret results, make recommendations, and exercise independent, sound judgment on project matters.'}, {'name': 'Teamwork and collaboration', 'description': 'Required. Work effectively within multidisciplinary teams and across the organization to achieve research goals.'}, {'name': 'Results orientation and customer service', 'description': 'Required. Focus on delivering high-quality outputs, anticipating stakeholder needs, and maintaining productive relationships.'}, {'name': 'Flexibility and adaptability', 'description': 'Required. Adjust to schedule changes, technology updates, and unanticipated participant or project needs.'}, {'name': 'Professionalism and ethics', 'description': 'Required. Maintain participant confidentiality, professional demeanor, integrity, and a positive, proactive attitude.'}]",Quantitative Analysis,Data Analysis,Analysis,0.592
20355,393048040,Research Associate,Hebrew SeniorLife,"Boston, MA","Research, Analyst, and Information Technology",Hospitals and Health Care,Entry level,"[{'name': 'Project management', 'description': 'Required. Plan, organize, coordinate study activities, timelines, meetings, and deliverables across team members and collaborators.'}, {'name': 'IRB submission and regulatory knowledge', 'description': 'Required. Prepare IRB applications and correspondence and ensure compliance with research ethics and participant confidentiality.'}, {'name': 'Study coordination', 'description': 'Required. Coordinate participant recruitment, scheduling, interactions with clinicians (e.g., surgeons, therapists), and day-to-day study operations.'}, {'name': 'Quantitative data analysis', 'description': 'Required. Analyze data from surveys, cohort studies, or clinical trials using appropriate statistical methods.'}, {'name': 'Qualitative research methods', 'description': 'Required/preferred. Conduct interviews, manage qualitative data collection and analysis (e.g., coding, thematic analysis).'}, {'name': 'Statistical/programming skills', 'description': 'Required. Fundamental programming and data analysis skills in SAS, R, Stata, Python, or similar languages for data cleaning, analysis, and reproducible workflows.'}, {'name': 'Data entry and data management', 'description': 'Required. Accurate data entry, database management, documentation of datasets and provenance (e.g., REDCap).'}, {'name': 'REDCap/database design', 'description': 'Required. Develop and maintain study databases, design data collection instruments, and manage data capture workflows.'}, {'name': 'Medical record review / EHR abstraction', 'description': 'Required. Extract and interpret clinical data from medical records for research purposes.'}, {'name': 'Participant interaction experience', 'description': 'Preferred. Experience interacting with older adults in clinic, hospital, or nursing home settings; ability to conduct interviews sensitively and maintain confidentiality.'}, {'name': 'Scientific writing and literature review', 'description': 'Required. Conduct literature reviews, draft sections of manuscripts and grant applications, and contribute to publications and conference presentations.'}, {'name': 'Communication skills (oral and written)', 'description': 'Required. Clear interpersonal communication with participants, collaborators, and the research team; strong writing for protocols, reports, and manuscripts.'}, {'name': 'Organizational and multitasking skills', 'description': 'Required. Superb organization, ability to prioritize multiple projects, meet deadlines, and re-prioritize as demands change.'}, {'name': 'Analytical and critical thinking', 'description': 'Required. Strong analytical skills to interpret results, make recommendations, and exercise independent, sound judgment on project matters.'}, {'name': 'Teamwork and collaboration', 'description': 'Required. Work effectively within multidisciplinary teams and across the organization to achieve research goals.'}, {'name': 'Results orientation and customer service', 'description': 'Required. Focus on delivering high-quality outputs, anticipating stakeholder needs, and maintaining productive relationships.'}, {'name': 'Flexibility and adaptability', 'description': 'Required. Adjust to schedule changes, technology updates, and unanticipated participant or project needs.'}, {'name': 'Professionalism and ethics', 'description': 'Required. Maintain participant confidentiality, professional demeanor, integrity, and a positive, proactive attitude.'}]",Qualitative Data Analysis,Data Analysis,Analysis,0.593
21329,388218541,Accounts Payable Control Specialist II,Beth Israel Lahey Health,"Boston, MA",Accounting/Auditing and Finance,Hospitals and Health Care,Entry level,"[{'name': 'Accounts Payable processing', 'description': 'Hands-on experience performing full-cycle AP tasks in a high-volume environment (payment runs, posting, reconciling, check handling, voids/reissues).'}, {'name': 'ERP transactional accounting', 'description': 'Use of ERP systems to review payment loads, release/correct data, post transactions, maintain run controls and vendor master records.'}, {'name': 'PeopleSoft (preferred)', 'description': 'Familiarity with PeopleSoft or comparable ERP platforms for AP processes (preferred by the employer).'}, {'name': 'Microsoft Excel', 'description': 'Proficiency in Excel for forecasting, reporting, divisional funding reports, check distribution logs and data analysis.'}, {'name': 'Payment methods (ACH, wire, checks, POSPAY, manual payments)', 'description': 'Knowledge and execution of multiple payment types including initiating ACH runs, posting wires, producing and mailing checks, processing POSPAY and manual payments.'}, {'name': 'Payment forecasting and run controls', 'description': 'Ability to prepare preliminary payment forecasts, manage pay-cycle/run controls, obtain approvals and exclude items not approved for payment.'}, {'name': 'Bank file verification and reconciliation', 'description': 'Verify bank receipt of payment files, confirm funds returned before voids, reconcile high-dollar checks and maintain check distribution logs.'}, {'name': '1099 and 1042 tax reporting', 'description': 'Process, test and file 1099 and 1042 information returns, correct mismatch reports and mail forms in compliance with IRS rules.'}, {'name': 'IRS FIRE system', 'description': 'Use the IRS FIRE system to submit test and final electronic filings for 1099/1042 reporting.'}, {'name': 'International Tax Navigator', 'description': 'Use of the International Tax Navigator to enter passport/visa data, monitor 1042 disbursements and submit 8233 forms.'}, {'name': 'Vendor master data management', 'description': 'Add and maintain vendor records accurately based on W8/W9, ACH information and vendor-provided documentation; enforce 1099 eligibility rules.'}, {'name': 'W8/W9 and 8233 form handling', 'description': 'Understand, collect and process W8/W9 documents and submit 8233 forms to the IRS when applicable.'}, {'name': 'Escheat and compliance processing', 'description': 'Perform escheat reviews/processing and ensure compliance with OIG sanctioning and other regulatory requirements.'}, {'name': 'Attention to detail and accuracy', 'description': 'High degree of accuracy for data entry (100+ invoices daily), matching supporting documentation and posting correct remits.'}, {'name': 'Communication and customer service', 'description': 'Strong verbal and written skills to contact vendors/colleagues for missing information, training and issue resolution.'}, {'name': 'Problem analysis and resolution', 'description': 'Ability to analyze posting/payment issues, trace to root cause and take corrective actions to completion.'}, {'name': 'Time management and prioritization', 'description': 'Flexibility in prioritizing tasks and working independently or in a team to meet operational deadlines.'}, {'name': 'Document management and indexing', 'description': 'Indexing and maintaining backup documentation in an electronic repository and ensuring backup for voids/reissues is stored.'}, {'name': 'IT liaison and operational coordination', 'description': 'Coordinate with IT/IS for payment-related system issues, check printing operations and stock replenishment support.'}]",Diagnostic Analysis,Data Analysis,Analysis,0.568
21745,391444112,"Diagnostic Radiographer (20 hr, Diagnostic Radiographer (Sundays 11:00pm-11:00am, Fridays 7:00am-3:30pm)",Beth Israel Deaconess Hospital-Needham,"Needham, MA",Health Care Provider,Hospitals and Health Care,Entry level,"[{'name': 'Diagnostic Radiography', 'description': 'Required. Competent performance of radiographic imaging procedures on inpatients, outpatients, ED and surgical patients, including patient positioning, exposure technique and image acquisition.'}, {'name': 'Fluoroscopic Imaging', 'description': 'Required. Ability to perform fluoroscopic procedures in accordance with protocols and ensure image quality and patient safety during dynamic imaging exams.'}, {'name': 'Radiation Safety / Infection Control', 'description': 'Required. Knowledge and application of radiation safety principles and infection control policies during all procedures.'}, {'name': 'Equipment Quality Control', 'description': 'Required. Perform routine quality control checks and basic troubleshooting on radiology equipment per standard procedures.'}, {'name': 'Patient Communication & Education', 'description': 'Required. Greet patients appropriately, provide exam-specific education, obtain relevant history and ensure patient comfort and understanding.'}, {'name': 'Scheduling & Documentation', 'description': 'Required. Accurately schedule exams, document procedures and maintain complete, accurate records for each examination.'}, {'name': 'Computer Literacy / Informatics', 'description': 'Required. Use hospital computer systems and web-based applications; proficiency with electronic documentation and basic informatics concepts.'}, {'name': 'Microsoft Office Suite', 'description': 'Required (experience preferred). Familiarity with Outlook, Word, Excel, PowerPoint or Access for communication and basic tasks.'}, {'name': 'PACS (Picture Archiving and Communication System)', 'description': 'Preferred. Experience using PACS to retrieve, view and manage radiologic images.'}, {'name': 'Computed Radiography (CR) Technology', 'description': 'Preferred. Knowledge of CR workflows and plate handling to acquire and process digital images.'}, {'name': 'Basic Life Support (BLS)', 'description': 'Required. Certification in BLS to provide immediate basic life support if needed.'}, {'name': 'Licensure / Certification (ARRT, State Licensure)', 'description': 'Required. ARRT certification in Radiography and Massachusetts Radiologic Technologist license or MA temporary registration; new graduates must obtain ARRT within 6 months.'}, {'name': 'Decision Making & Problem Solving', 'description': 'Required. Ability to interpret instructions, make recommendations for moderate complexity problems, and apply precedent-based solutions.'}, {'name': 'Prioritization & Independence of Action', 'description': 'Required. Organize work within general guidelines, set priorities, and seek assistance for complex or unpredictable situations.'}, {'name': 'Written and Oral Communication', 'description': 'Required. Clear, professional communication in English with patients, families, staff and external customers, both written and verbal.'}, {'name': 'Teamwork / Interpersonal Skills', 'description': 'Required. Collaborate effectively with small teams of clinicians and staff to improve operations and patient care.'}, {'name': 'Customer Service / Patient-centered Care', 'description': 'Required. Provide professional, respectful, service-oriented care; remain calm under stress and use active listening and problem solving.'}, {'name': 'Physical Strength & Stamina', 'description': 'Required. Ability to perform heavy work (occasionally up to 100 lbs, frequently up to 50 lbs), stand for extended periods and assist with patient transfers.'}, {'name': 'Age-specific Patient Competency', 'description': 'Required. Competence providing care across age groups including neonatal, pediatric, adolescent, young adult, middle age and elderly patients.'}]",Informatics,Data Science,Analysis,0.574
22872,388252001,Oncology Clinic Registered Nurse / RN,Emory Healthcare,"Atlanta, GA",Health Care Provider,Hospitals and Health Care,Entry level,"[{'name': 'Clinical nursing assessment', 'description': 'Perform thorough patient assessments, recognize changes in condition, and determine nursing implications and necessary interventions. (Required)'}, {'name': 'Nursing process & care planning', 'description': 'Develops and implements individualized care plans using the nursing process and incorporates patient/family input; adjusts plans based on response and outcomes. (Required)'}, {'name': 'Documentation (electronic & physical)', 'description': 'Accurate, timely documentation of assessments, interventions, and outcomes in electronic health records and physical records. (Required)'}, {'name': 'Patient and family education', 'description': 'Identify learning needs and recommend/teach appropriate resources and self-care strategies. (Required)'}, {'name': 'Cultural competence', 'description': 'Recognize and respect cultural differences and individualize care accordingly. (Required)'}, {'name': 'Clinical leadership & delegation', 'description': 'Appropriate delegation of tasks using the Synergy Model, functioning in developing leadership roles and serving as Charge Nurse when assigned. (Required)'}, {'name': 'Teamwork & interdisciplinary collaboration', 'description': 'Work effectively with interdisciplinary teams and patient/family care partners to coordinate care. (Required)'}, {'name': 'Orientation & precepting support', 'description': 'Assist in orienting staff and students when a designated preceptor is not available. (Required)'}, {'name': 'Communication & conflict resolution', 'description': 'Strong verbal and written communication skills and the ability to manage and resolve workplace conflicts. (Required)'}, {'name': 'Quality improvement & evidence-based practice', 'description': 'Identify opportunities for policy revisions based on evidence, participate in quality initiatives, and apply evidence-based research to practice. (Required)'}, {'name': 'Data collection & analysis', 'description': 'Collect, report, and analyze patient care and quality data to support improvements and meet organizational standards. (Required)'}, {'name': 'Regulatory & professional compliance', 'description': 'Maintain required contact hours/points and certifications, comply with institutional policies and licensing requirements. (Required)'}, {'name': 'Basic Life Support (BLS) certification', 'description': 'Current BLS certification is required to perform resuscitation and emergency basic life support interventions. (Required)'}, {'name': 'Advanced Cardiac Life Support (ACLS)', 'description': 'ACLS may be required depending on department/specialty; supports advanced emergency cardiac care. (Department-dependent / Preferred/Required post-hire)'}, {'name': 'Advocacy', 'description': 'Act as an advocate for patients and families, ensuring their needs and preferences are represented in care decisions. (Required)'}]",Reporting and Analysis,Data Analysis,Analysis,0.57
23525,388217413,Radiologist- Body Section,Lahey Hospital & Medical Center,"Burlington, MA",Health Care Provider,Hospitals and Health Care,Entry level,"[{'name': 'Abdominal cross-sectional imaging (CT and MRI)', 'description': 'Proficiency interpreting abdominal and pelvic CT and MRI studies, including complex cases and advanced CT techniques (dual-source, multi-energy).'}, {'name': 'Ultrasound', 'description': 'Skill in interpreting abdominal ultrasound examinations and integrating findings with other imaging modalities.'}, {'name': 'Digital fluoroscopy and X-ray', 'description': 'Ability to read and interpret fluoroscopic studies and plain radiographs relevant to abdominal and related chest imaging.'}, {'name': 'Chest imaging (basic)', 'description': 'Competence to interpret chest imaging when included in the case mix.'}, {'name': 'Board certification / ABR eligibility', 'description': 'Board Certified (BC) or Board Eligible (BE) in Diagnostic Radiology and eligibility/certification through the American Board of Radiology (ABR).'}, {'name': 'Clinical collaboration and multidisciplinary communication', 'description': 'Effective teamwork and clear communication with clinical colleagues in hepatobiliary, GI, surgery, urology and oncology for patient management and case discussion.'}, {'name': 'Conference and tumor board participation', 'description': 'Experience presenting cases and contributing diagnostic expertise at clinical conferences, tumor boards and peer learning sessions.'}, {'name': 'Resident teaching and education', 'description': 'Experience and comfort teaching radiology residents and participating in educational activities.'}, {'name': 'Up-to-date knowledge of abdominal imaging practices', 'description': 'Current familiarity with standards-of-care, protocols, and advances in abdominal imaging interpretation and reporting.'}, {'name': 'Interpersonal and organizational skills', 'description': 'Strong clinical judgment, time-management, documentation, and professional interpersonal skills in a team-based environment.'}, {'name': 'Familiarity with AI applications in imaging', 'description': 'Awareness/use of AI tools applied to imaging workflows and diagnostics (mentioned as part of the technology environment).'}, {'name': 'Academic skills (research/teaching)', 'description': 'Interest/ability to engage in scholarship, research, and academic activities consistent with a teaching hospital environment.'}, {'name': 'Adaptability to hybrid/remote workflow', 'description': 'Ability to work effectively in a hybrid in-person and remote reading environment while maintaining productivity and communication.'}]",AI in Diagnostics,Artificial Intelligence and Machine Learning (AI/ML),Information Technology,0.553
24479,417973336,"Software Engineer, Back End",Capital One,"Cambridge, MA",Engineering and Information Technology,Financial Services,Entry level,"[{'name': 'Professional Software Engineering Experience', 'description': 'Required — minimum 1.5 years of professional software engineering experience (internships do not count). Experience delivering production-grade software, debugging, and maintaining services.'}, {'name': 'Backend Development / Full-stack Development', 'description': 'Required — design, implement, test, and support server-side logic and APIs; ability to work across full-stack components as needed to deliver end-to-end solutions.'}, {'name': 'Programming Languages (Java, Scala, Python, Go, Node.js, SQL)', 'description': 'Preferred — at least 3+ years in one or more of Java, Scala, Python, Go, or Node.js; proficiency with SQL for data access and manipulation.'}, {'name': 'Machine Learning and Large Language Models (LLMs)', 'description': 'Preferred — 1+ years experience with ML or LLM technologies; ability to integrate ML/LLM capabilities into applications or data pipelines to add efficiencies and automate workflows.'}, {'name': 'Cloud Platforms', 'description': 'Preferred — 1+ years experience with cloud providers such as AWS, GCP, or Azure; ability to build and operate cloud-native applications and use cloud services.'}, {'name': 'Containerization & Orchestration (Docker, Kubernetes)', 'description': 'Required/Preferred — experience with containerizing applications and using orchestration platforms (e.g., Docker and Kubernetes) to deploy and manage services.'}, {'name': 'Streaming / Real-time Data Integration', 'description': 'Required — experience integrating and processing real-time or streaming data within data architectures and pipelines.'}, {'name': 'Databases (Open Source RDBMS and NoSQL)', 'description': 'Required/Preferred — familiarity with relational databases (open source RDBMS) and NoSQL databases for data storage and retrieval patterns.'}, {'name': 'Open Source Frameworks', 'description': 'Preferred — 2+ years experience using open source frameworks and libraries relevant to backend, data, or cloud development.'}, {'name': 'Agile Practices & Collaboration', 'description': 'Preferred — 2+ years experience working in Agile teams; strong cross-functional collaboration with product managers, engineers, and other stakeholders.'}, {'name': 'Testing, Implementation & Support', 'description': 'Required — ability to write automated tests, participate in CI/CD pipelines, implement features to production, and provide operational support for services.'}, {'name': 'Data Engineering / Modern Data Ecosystems', 'description': 'Preferred/Required — understanding of modern data architectures, pipelines, and best practices for handling large-scale or streaming data.'}, {'name': 'Mentoring & Community Participation', 'description': 'Preferred — willingness to mentor peers, engage in internal/external tech communities, and share learnings about new technologies and best practices.'}, {'name': 'Technical Curiosity & Continuous Learning', 'description': 'Required/Preferred — habit of staying current with tech trends, experimenting with new tools/approaches, and applying them where beneficial.'}]",Large Language Modeling,Artificial Intelligence and Machine Learning (AI/ML),Information Technology,0.68
24489,417973336,"Software Engineer, Back End",Capital One,"Cambridge, MA",Engineering and Information Technology,Financial Services,Entry level,"[{'name': 'Professional Software Engineering Experience', 'description': 'Required — minimum 1.5 years of professional software engineering experience (internships do not count). Experience delivering production-grade software, debugging, and maintaining services.'}, {'name': 'Backend Development / Full-stack Development', 'description': 'Required — design, implement, test, and support server-side logic and APIs; ability to work across full-stack components as needed to deliver end-to-end solutions.'}, {'name': 'Programming Languages (Java, Scala, Python, Go, Node.js, SQL)', 'description': 'Preferred — at least 3+ years in one or more of Java, Scala, Python, Go, or Node.js; proficiency with SQL for data access and manipulation.'}, {'name': 'Machine Learning and Large Language Models (LLMs)', 'description': 'Preferred — 1+ years experience with ML or LLM technologies; ability to integrate ML/LLM capabilities into applications or data pipelines to add efficiencies and automate workflows.'}, {'name': 'Cloud Platforms', 'description': 'Preferred — 1+ years experience with cloud providers such as AWS, GCP, or Azure; ability to build and operate cloud-native applications and use cloud services.'}, {'name': 'Containerization & Orchestration (Docker, Kubernetes)', 'description': 'Required/Preferred — experience with containerizing applications and using orchestration platforms (e.g., Docker and Kubernetes) to deploy and manage services.'}, {'name': 'Streaming / Real-time Data Integration', 'description': 'Required — experience integrating and processing real-time or streaming data within data architectures and pipelines.'}, {'name': 'Databases (Open Source RDBMS and NoSQL)', 'description': 'Required/Preferred — familiarity with relational databases (open source RDBMS) and NoSQL databases for data storage and retrieval patterns.'}, {'name': 'Open Source Frameworks', 'description': 'Preferred — 2+ years experience using open source frameworks and libraries relevant to backend, data, or cloud development.'}, {'name': 'Agile Practices & Collaboration', 'description': 'Preferred — 2+ years experience working in Agile teams; strong cross-functional collaboration with product managers, engineers, and other stakeholders.'}, {'name': 'Testing, Implementation & Support', 'description': 'Required — ability to write automated tests, participate in CI/CD pipelines, implement features to production, and provide operational support for services.'}, {'name': 'Data Engineering / Modern Data Ecosystems', 'description': 'Preferred/Required — understanding of modern data architectures, pipelines, and best practices for handling large-scale or streaming data.'}, {'name': 'Mentoring & Community Participation', 'description': 'Preferred — willingness to mentor peers, engage in internal/external tech communities, and share learnings about new technologies and best practices.'}, {'name': 'Technical Curiosity & Continuous Learning', 'description': 'Required/Preferred — habit of staying current with tech trends, experimenting with new tools/approaches, and applying them where beneficial.'}]",Spark Streaming,Data Science,Analysis,0.622
